202206010404,16,260,650,1050,1240,4230,13970,43,73530,126,311860,566
202206010405,17,260,640,1220,1080,4670,1340,3,4760,14,16900,48
202206010406,11,170,230,400,780,2420,400,1,920,2,2610,2
202206010407,16,260,450,760,1110,2890,2020,5,23950,69,80060,240
202206010408,16,160,750,850,1890,4910,1040,3,3430,11,10070,21
202206010409,14,250,410,790,720,2310,8120,30,53310,108,276290,540
202206010410,15,240,700,1020,1830,5330,9740,34,7600,26,51070,166
202206010411,16,430,1210,2190,2870,11570,3440,10,8250,26,39100,126
202206010412,16,320,670,1200,1040,4190,4950,21,3940,12,23220,78
202206010501,16,260,760,1170,1030,4200,2440,10,1030,1,7850,9
202206010502,16,250,330,620,610,2150,1080,4,610,1,3430,4
202206010503,16,280,420,870,1190,3830,5950,22,15470,50,74870,245
202206010504,8,130,380,440,570,1350,720,3,750,2,2530,5
202206010505,13,250,360,640,250,1170,670,2,1850,4,6530,11
202206010506,10,210,500,700,1010,2750,1240,5,1350,5,7080,21
202206010507,16,160,490,610,870,2300,610,1,900,2,2300,1
202206010508,15,210,490,820,1060,3230,15900,45,5140,13,54020,168
202206010509,11,220,340,660,520,1890,3500,14,23470,40,72580,140
202206010510,12,180,440,610,640,1600,19020,41,2790,11,47140,137
202206010511,16,270,930,1350,1910,5890,10270,40,5710,15,47270,149
202206010512,11,290,580,1100,780,3260,1380,5,920,3,4950,12
202206010601,16,280,750,1370,1340,4600,16800,50,109130,172,394760,770
202206010602,15,210,340,640,980,3200,2110,6,12850,39,31020,86
202206010603,16,360,820,1340,1540,6790,18800,58,28140,84,149720,464
202206010604,14,160,330,480,1050,2220,25750,50,4460,13,67260,182
202206010605,16,370,1040,1910,2640,9470,4970,16,16220,66,69690,262
202206010606,16,160,240,340,890,1770,1780,5,5690,14,17560,47
202206010607,16,280,770,1650,1790,7730,2870,6,5870,20,22160,48
202206010608,12,230,490,920,1270,3830,2600,7,1270,1,10530,21
202206010609,16,210,670,920,1430,4300,11600,36,27210,82,163380,436
202206010610,16,420,1390,2550,4200,14220,11710,53,10550,25,70720,239
202206010611,16,240,810,1200,1340,4540,16930,46,56610,121,323010,652
202206010612,14,300,460,830,920,3100,31590,80,80320,172,562800,1037
202206010701,16,260,420,820,1170,3600,1910,4,1170,1,5500,7
202206010702,13,180,380,600,510,1780,6030,19,24820,56,103580,221
202206010703,16,210,430,780,610,2760,7890,26,13420,42,68130,188
202206010704,16,170,530,690,1070,2670,3980,10,4760,13,22730,57
202206010705,16,160,430,670,660,2300,890,2,1690,7,4750,13
202206010706,14,150,400,520,790,1970,520,1,1120,3,2540,4
202206010707,16,150,320,450,1260,2520,1270,4,2380,6,6940,11
202206010708,14,360,620,1100,1260,4390,7510,29,5420,16,43480,156
202206010709,7,220,250,450,180,700,750,4,920,3,3730,12
202206010710,13,250,420,790,750,2770,1280,4,750,1,5580,9
202206010711,11,220,650,940,1180,3570,4250,14,5130,19,32770,112
202206010712,11,410,1030,2110,1590,7220,4310,20,2930,5,19180,50
202206010801,16,250,570,1040,950,4060,12660,43,4340,17,38120,142
202206010802,13,170,210,340,450,1200,480,2,450,1,1950,4
202206010803,11,140,250,330,460,1160,330,1,560,2,1160,1
202206010804,16,210,410,620,630,2030,14620,42,11910,33,77500,211
202206010805,11,240,290,500,210,870,500,1,210,1,870,1
202206010806,13,320,930,1470,1280,6100,2770,13,4090,18,22620,96
202206010807,10,130,190,250,350,750,250,1,620,2,1050,2
202206010808,16,290,970,1480,1860,6650,9600,36,20080,61,111800,340
202206010809,11,180,490,690,870,2620,3810,14,3680,14,20380,73
202206010810,12,300,690,1150,1030,3590,9740,34,8660,29,42950,141
202206010811,14,200,380,580,1010,2740,60920,83,87240,128,720760,772
202206010812,9,230,310,570,470,1620,1920,9,1700,6,7620,26
202206020101,16,230,680,1100,1130,3780,89500,117,60970,124,481210,811
202206020102,16,250,750,1200,1290,4580,3910,14,1930,6,14390,56
202206020103,16,180,420,620,450,1420,1130,4,1510,4,8940,24
202206020104,16,160,350,500,820,2280,17230,34,7570,20,135680,262
202206020105,16,290,630,1030,1280,4480,2070,5,15610,51,68030,231
202206020106,18,170,480,670,1210,3630,670,1,1210,1,3630,1
